issue_number,title,url,priority,clusters,comments_count,linked_prs,work_area,evidence,wiki_page
9794,[Bug]: failed to test tests/lora/test_layers.py::test_embeddings[True-512-cuda:1-1],https://github.com/vllm-project/vllm/issues/9794,24,quant_dtype_semantics;verification_contract,4,#10223,ci_build;distributed_parallel;hardware_porting;model_support;sampling_logits;speculative_decoding,_logits;speculative_decoding ified by :attr:`padding_idx` are expected to differ from the numerical ones. .. note:: Note that `:class:`torch.nn.Embedding` differs from this function in that it initializes the row of :attr:`weight` specified by :att... [Bug]:...,cases/09xxx/9794-bug-failed-to-test-tests-lora-test-layers-py-test-embeddings-true-512-.md
10648,[Bug]: Llama 3.2 90b crash,https://github.com/vllm-project/vllm/issues/10648,24,kernel_autotune_reduction;verification_contract,19,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;speculative_decoding,ulative_decoding culative_decoding cuda;kernel;operator;sampling;triton build_error;crash;mismatch;nan_inf env_dependency;memory_layout Your current environment [Bug]: Llama 3.2 90b crash ### Your current environment ### Model Input Dumps _No response_ ### 🐛...,cases/10xxx/10648-bug-llama-3-2-90b-crash.md
16337,[Bug]: FP8 Quantization with enforce_eager=False Causes Gibberish Output on Llama-4-Scout Model (VLLM_USE_V1=1),https://github.com/vllm-project/vllm/issues/16337,24,batch_invariance;quant_dtype_semantics;verification_contract,10,#42779,ci_build;hardware_porting;model_support;quantization;sampling_logits;speculative_decoding,"sometimes it can also be"", ""The capital of France is"", ] sampling_params = SamplingParams(temperature=0.8, top_p=0.95, max_tokens=256) llm = LLM( model=""/app/model/Llama-4-Scout-17B-16E-Instruct/"", tensor_parallel_size=4, quantization=""fp8"", max_model_len=819...",cases/16xxx/16337-bug-fp8-quantization-with-enforce-eager-false-causes-gibberish-output-.md
17170,[Bug]: HIP error: invalid device function,https://github.com/vllm-project/vllm/issues/17170,24,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,5,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;speculative_decoding,"ulative_decoding attention (SWA) is not yet supported in Triton flash attention. For half-precision SWA support, please use CK flash attention by setting `VLLM_USE_TRITON_FLASH_ATTN=0` [rank0]: Traceback (most recent call last): [rank0]... [Bug]: HIP error: i...",cases/17xxx/17170-bug-hip-error-invalid-device-function.md
17832,[Bug]: Inconsistent Output: First API call differs from subsequent identical calls with temperature=0 on Qwen models,https://github.com/vllm-project/vllm/issues/17832,24,verification_contract,12,,ci_build;distributed_parallel;frontend_api;model_support;sampling_logits,"[Bug]: Inconsistent Output: First API call differs from subsequent identical calls with temperature=0 on Qwen models ci_build;distributed_parallel;frontend_api;model_support;sampling_logits unexpected, especially with temperature: 0, which should ideally lead...",cases/17xxx/17832-bug-inconsistent-output-first-api-call-differs-from-subsequent-identic.md
19491,[Bug]: vLLM outputs are not reproducible,https://github.com/vllm-project/vllm/issues/19491,24,kv_identity_concurrency;verification_contract,26,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,"ossibly it's related to the scheduling, so a certain pressure is required). When setting `temperature=0`, I expect totally deterministic output from the model, and this is extremely important to our use cases, where we might need to debug problematic model ou...",cases/19xxx/19491-bug-vllm-outputs-are-not-reproducible.md
19538,"[Bug]: Error during transcription: Received a CachedWhisperTokenizerFast for argument tokenizer, but a WhisperTokenizer was expected.",https://github.com/vllm-project/vllm/issues/19538,24,kv_identity_concurrency;quant_dtype_semantics;backend_specific_drift,10,,attention_kv_cache;frontend_api;model_support;quantization;sampling_logits,";sampling_logits GPU memory footprint and boosts the performance. Meanwhile, it may cause accuracy drop without a proper scaling factor WARNING 06-12 08:26:56 [cuda.py:91] To see benefits of async output processing, enable CUDA graph. S... [Bug]: Error during...",cases/19xxx/19538-bug-error-during-transcription-received-a-cachedwhispertokenizerfast-f.md
22605,[RFC]: Separated CPU KV Cache Offloading/Transfer Process,https://github.com/vllm-project/vllm/issues/22605,24,prefix_cache_equivalence;kv_identity_concurrency;verification_contract,36,,attention_kv_cache;distributed_parallel;frontend_api;hardware_porting;scheduler_memory,"scheduler_memory loads to test the worst-case overhead of the offloading (i.e., 0% prefix cache hit) 1. Llama 3.1 8B Random workload, 1000 input, 100 output, 1000 requests 2. Llama 3.1 8B Random workload, 8000 input, 100 output, 200 req... [RFC]: Separated CP...",cases/22xxx/22605-rfc-separated-cpu-kv-cache-offloading-transfer-process.md
22616,[Bug]: Qwen3 Moe is extremely slow on high context,https://github.com/vllm-project/vllm/issues/22616,24,prefix_cache_equivalence;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,10,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding s/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 21.8%, Prefix cache hit rate: 66.4% (APIServer pid=12152) INFO 08-11 03:54:15 [loggers.py:123] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation t... [Bug]: Qwen3 Moe is...",cases/22xxx/22616-bug-qwen3-moe-is-extremely-slow-on-high-context.md
28033,[Bug]: CUDA Illegal Memory Access with VLM Models (Qwen3-VL/Qwen2.5-VL) when using logprobs=True under high concurrency,https://github.com/vllm-project/vllm/issues/28033,24,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract,8,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;multimodal_vlm;sampling_logits,;sampling_logits m;sampling_logits cuda;kernel;operator;sampling;triton build_error;crash;mismatch dtype;env_dependency Your current environment [Bug]: CUDA Illegal Memory Access with VLM Models (Qwen3-VL/Qwen2.5-VL) when using logprobs=True under high concur...,cases/28xxx/28033-bug-cuda-illegal-memory-access-with-vlm-models-qwen3-vl-qwen2-5-vl-whe.md
29945,[Bug]: Got different `max model len` using MTP with Qwen3 next,https://github.com/vllm-project/vllm/issues/29945,24,quant_dtype_semantics;verification_contract;backend_specific_drift,10,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding 24, temperature=0.6, top_p=0.95, seed=42, # For reproducible results output_kind=RequestOutputKind.DELTA, # Get only new tokens each iteration ) try: # Stream tokens from As...",cases/29xxx/29945-bug-got-different-max-model-len-using-mtp-with-qwen3-next.md
35329,"[Bug]: quantization=""mxfp4"" produces incorrect results / hangs for MoE models at tensor_parallel_size=1",https://github.com/vllm-project/vllm/issues/35329,24,quant_dtype_semantics;verification_contract;backend_specific_drift,6,,attention_kv_cache;distributed_parallel;gemm_linear;model_support;moe;quantization;sampling_logits,"egenerate output ` outputs = llm.generate([""What is 2+2?""], SamplingParams(max_tokens=50, temperature=0.0))` Observed Behavior Varies by configuration: - FLASH_ATTN backend, tp=1: Model loads but generation produces repetitive garbage or hangs indefinitely -...",cases/35xxx/35329-bug-quantization-mxfp4-produces-incorrect-results-hangs-for-moe-models.md
39288,[Bug]: FlashInfer CUTLASS MoE backend causes CUDA illegal memory access on H100 during CUDA graph capture (Qwen3-Next-80B BF16),https://github.com/vllm-project/vllm/issues/39288,24,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,1,#36286,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;model_support;moe,odel_support;moe PyTorch**: 2.9.0+cu129 - **Model**: Qwen/Qwen3-Next-80B-A3B-Instruct - **Precision**: BF16 (torch.bfloat16) - **Tensor parallel**: TP=4 and TP=8 (both crash) ### 🐛 Describe the bug The FlashInfer CUTLASS Unquantized MoE... [Bug]: FlashInfer C...,cases/39xxx/39288-bug-flashinfer-cutlass-moe-backend-causes-cuda-illegal-memory-access-o.md
39761,[Bug]:CUDA illegal instruction during decode (V1 Engine + NVFP4) on aarch64 (NVIDIA GB10),https://github.com/vllm-project/vllm/issues/39761,24,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,4,,activation_norm;attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;quantization;scheduler_memory,"scheduler_memory s tokens (in my case, processing 57,260 prompt tokens with an 84% prefix cache hit rate), but the engine crashes specifically during the decode phase (around output token 45) inside GPUModelRunner.get_output(). Since th... [Bug]:CUDA illegal...",cases/39xxx/39761-bug-cuda-illegal-instruction-during-decode-v1-engine-nvfp4-on-aarch64-.md
44200,[Bug]: Qwen3-VL EVS video pruning crashes with CPU/CUDA device mismatch in _create_final_video_embeddings,https://github.com/vllm-project/vllm/issues/44200,24,quant_dtype_semantics;verification_contract;backend_specific_drift,0,#33607;#34246;#44202,ci_build;model_support;multimodal_vlm;sampling_logits;speculative_decoding,[Bug]: Qwen3-VL EVS video pruning crashes with CPU/CUDA device mismatch in _create_final_video_embeddings ci_build;model_support;multimodal_vlm;sampling_logits;speculative_decoding [Bug]: Qwen3-VL EVS video pruning crashes with CPU/CUDA device mismatch in _cr...,cases/44xxx/44200-bug-qwen3-vl-evs-video-pruning-crashes-with-cpu-cuda-device-mismatch-i.md
7382,[Bug]: LLaMa 3.1 8B/70B/405B all behave poorly and differently using completions API as compared to good chat API,https://github.com/vllm-project/vllm/issues/7382,23,kernel_autotune_reduction;verification_contract,24,,ci_build;distributed_parallel;frontend_api;model_support;sampling_logits,"eneration_prompt) print(""prompt_llm: %s\n\n"" % prompt_llm) kwargs = dict(max_tokens=1024, temperature=0) from openai import OpenAI client = OpenAI(base_url=base_url) kwargs['model'] = model for i in range(1, 2): kwargs['seed'] = i responses = client.completio...",cases/07xxx/7382-bug-llama-3-1-8b-70b-405b-all-behave-poorly-and-differently-using-comp.md
11072,[Bug]: vllm serve kv cache does not seem to persist properly across requests,https://github.com/vllm-project/vllm/issues/11072,23,prefix_cache_equivalence;kv_identity_concurrency;verification_contract,11,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,ulative_decoding hing is working) this is backed up by the vllm output showing the prefix cache hit ratio being positive. The problem that I have now is that every request after the first one goes back to 45 seconds of first token laten... [Bug]: vllm serve k...,cases/11xxx/11072-bug-vllm-serve-kv-cache-does-not-seem-to-persist-properly-across-reque.md
13954,[Bug]: vllm crash when enable prefix caching,https://github.com/vllm-project/vllm/issues/13954,23,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,3,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding 0%, CPU KV cache usage: 0.0%. INFO 02-27 16:38:01 metrics.py:483] Prefix cache hit rate: GPU: 0.00%, CPU: 0.00% INFO 02-27 16:38:06 metrics.py:467] Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.2 tok... [Bug]: vllm crash w...",cases/13xxx/13954-bug-vllm-crash-when-enable-prefix-caching.md
14022,[Usage]: Low GPU utilization when running Deepseek-r1-distill-llama-8B,https://github.com/vllm-project/vllm/issues/14022,23,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract,9,,attention_kv_cache;ci_build;distributed_parallel;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding 2%, CPU KV cache usage: 0.0%. INFO 02-28 15:02:09 metrics.py:471] Prefix cache hit rate: GPU: 91.98%, CPU: 0.00% INFO 02-28 15:02:14 metrics.py:455] Avg prompt throughput: 224.7 tokens/s, Avg generation throughput: 3126... [Usage]: Low GPU ut...",cases/14xxx/14022-usage-low-gpu-utilization-when-running-deepseek-r1-distill-llama-8b.md
16766,[Bug]: vllm-v0.7.3 V0 engine TP=16 serve DeepSeek-R1 Crash while inference,https://github.com/vllm-project/vllm/issues/16766,23,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,2,,activation_norm;attention_kv_cache;distributed_parallel;frontend_api;gemm_linear;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,ulative_decoding a;fp8;kernel;moe;operator;quantization;sampling;triton build_error;crash;mismatch;oom;slowdown dtype;env_dependency;memory_layout Your current environment [Bug]: vllm-v0.7.3 V0 engine TP=16 serve DeepSeek-R1 Crash while inference ### Your cur...,cases/16xxx/16766-bug-vllm-v0-7-3-v0-engine-tp-16-serve-deepseek-r1-crash-while-inferenc.md
18085,[Bug]: regression from vllm==0.8.4 - Llama 4 Maverick FP8 + xgrammar crash server,https://github.com/vllm-project/vllm/issues/18085,23,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,7,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ns/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.3%, Prefix cache hit rate: 18.7% [1;36m(VllmWorker rank=4 pid=493)[0;0m ERROR 05-13 20:11:42 [multiproc_executor.py:522] WorkerProc hit an exception. [1;3... [Bug]: regression f...",cases/18xxx/18085-bug-regression-from-vllm-0-8-4-llama-4-maverick-fp8-xgrammar-crash-ser.md
22808,[Bug]: Prefix caching with larger batch-sizes and large prompts is much slower and occasionally outputs garbage,https://github.com/vllm-project/vllm/issues/22808,23,prefix_cache_equivalence;quant_dtype_semantics;verification_contract,10,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits,";sampling_logits d to operate at the highest level of reasoning, creativity, empathy, and precision. Your primary objectives are: Provide clear, accurate, and complete answers. Exhibit empathy and adaptability to user tone, needs, and b... [Bug]: Prefix cachi...",cases/22xxx/22808-bug-prefix-caching-with-larger-batch-sizes-and-large-prompts-is-much-s.md
23138,[Bug]:Non-deterministic outputs despite temperature=0.0 when handling concurrent requests,https://github.com/vllm-project/vllm/issues/23138,23,prefix_cache_equivalence;batch_invariance;kv_identity_concurrency;quant_dtype_semantics;verification_contract,2,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;speculative_decoding,[Bug]:Non-deterministic outputs despite temperature=0.0 when handling concurrent requests ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;speculative_decoding [Bug]:Non-deterministic outputs despite tempe...,cases/23xxx/23138-bug-non-deterministic-outputs-despite-temperature-0-0-when-handling-co.md
27408,[Bug]: vLLM crashes with SIGABRT on Intel Arc B-series (Battlemage) GPUs during model inspection,https://github.com/vllm-project/vllm/issues/27408,23,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,7,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;speculative_decoding,"support;speculative_decoding t: return None # Alphabetize the result because the order is non-deterministic otherwise files = sorted(files_set) if len(files) == 1: return files[0] result = ""\n"".join(files) return ""Probably one of the following:\n{}... [Bug]:...",cases/27xxx/27408-bug-vllm-crashes-with-sigabrt-on-intel-arc-b-series-battlemage-gpus-du.md
29641,[Bug]: Max Tokens not being honoured in Chat Completions for GPTOSS model,https://github.com/vllm-project/vllm/issues/29641,23,verification_contract,16,,,"or GPTOSS model adiology: Google DeepMind’s AI detects lung cancer on CT scans with >95% accuracy. • Dermatology: FDA‑cleared apps (e.g., SkinVision) classify skin lesions from photos. • Pathology: Paige.ai assists in detecting prostat... [Bug]: Max Tokens no...",cases/29xxx/29641-bug-max-tokens-not-being-honoured-in-chat-completions-for-gptoss-model.md
32409,[Bug]: KV Transfer does not work with Spec Decode,https://github.com/vllm-project/vllm/issues/32409,23,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,1,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,"tokens"": 1, ""method"": ""eagle3"", }, block_size=16 ) params = SamplingParams(max_tokens=10, temperature=0.0) outputs = llm.generate([""You are an expert assistant with strong reasoning, writing, and planning capability. Your goal is to produce a high-quality res...",cases/32xxx/32409-bug-kv-transfer-does-not-work-with-spec-decode.md
32733,[RFC]: [P/D] Prefill compute optimizations with bi-directional KV cache transfers between P and D nodes,https://github.com/vllm-project/vllm/issues/32733,23,prefix_cache_equivalence;kv_identity_concurrency;verification_contract,15,,,"n P and D nodes system prompts, historical user queries, and prior model responses) upon cache misses. Both computational redundancy scenarios can be mitigated through implementation of bidirectional KV cache transfer capabilities betw... [RFC]: [P/D] Prefill...",cases/32xxx/32733-rfc-p-d-prefill-compute-optimizations-with-bi-directional-kv-cache-tra.md
36031,[Bug]: Commit 28ef9ba causing VLLM to crash when running Qwen 3.5 122B with Speculative Decoding enabled,https://github.com/vllm-project/vllm/issues/36031,23,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,3,,ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,culative_decoding cuda;kernel;moe;operator;quantization;sampling;triton build_error;crash;mismatch;nan_inf dtype;env_dependency;race_condition Your current environment [Bug]: Commit 28ef9ba causing VLLM to crash when running Qwen 3.5 122B with Speculative Dec...,cases/36xxx/36031-bug-commit-28ef9ba-causing-vllm-to-crash-when-running-qwen-3-5-122b-wi.md
38131,[Bug]: [CPU Backend] No CPU profiler summary equivalent; CUDA summary flag is silently disabled on CPU,https://github.com/vllm-project/vllm/issues/38131,23,quant_dtype_semantics;verification_contract;backend_specific_drift,1,#38324;#38366;#38466,ci_build;frontend_api;hardware_porting;model_support;sampling_logits;speculative_decoding,"_stats=True, profiler_config=prof_cfg, ) sampling_params = SamplingParams( max_tokens=32, temperature=0.0, top_p=1.0, ) llm.start_profile() llm.generate([""Hello"", ""Test""], sampling_params) llm.stop_profile() if __name__ == ""__main__"": main() ``` What is being...",cases/38xxx/38131-bug-cpu-backend-no-cpu-profiler-summary-equivalent-cuda-summary-flag-i.md
39371,DSA module construction corrupts CUDA RNG state (Offset increment outside graph capture),https://github.com/vllm-project/vllm/issues/39371,23,kv_identity_concurrency;verification_contract;backend_specific_drift,0,#33451;#34457;#34552,attention_kv_cache;hardware_porting;model_support,"ting;model_support Workaround Avoid all RNG operations after DSA module construction. Use deterministic initialization (`fill_()`, `torch.full()`, `torch.zeros()`) instead. correctness attention_kv_cache;hardware_porting;model_support att... DSA module constr...",cases/39xxx/39371-dsa-module-construction-corrupts-cuda-rng-state-offset-increment-outsi.md
39996,"[Bug] Fatal AssertionError: Encoder KV cache fails to evict tokens, exceeding max_model_len in long-lived WebSocket sessions",https://github.com/vllm-project/vllm/issues/39996,23,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,4,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;multimodal_vlm;sampling_logits;scheduler_memory;speculative_decoding,"r pid=2274232) INFO 04-16 11:56:03 [loggers.py:271] ... GPU KV cache usage: 19.2%, Prefix cache hit rate: 0.0% (EngineCore pid=2274342) ERROR 04-16 11:56:13 [dump_input.py:72] Dumping input data for V1 LLM engine... ... (EngineCore pid=2274342) File "".../vllm...",cases/39xxx/39996-bug-fatal-assertionerror-encoder-kv-cache-fails-to-evict-tokens-exceed.md
41343,"[Bug]: `kv_cache_dtype=""fp8_e5m2""` silently corrupts output on Qwen-VL models (Qwen2-VL, Qwen2.5-VL) with default scaling",https://github.com/vllm-project/vllm/issues/41343,23,batch_invariance;kv_identity_concurrency;quant_dtype_semantics;verification_contract,5,#41408,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;multimodal_vlm;quantization;sampling_logits;speculative_decoding,"= llm.generate( [{""prompt"": prompt, ""multi_modal_data"": {""image"": img}}], SamplingParams(temperature=0, top_p=1, max_tokens=64, seed=42), ) print(f"" kv_cache_dtype={kv_dtype} calc_kv_scales={calc_scales}"") print(f"" -> {out[0].outputs[0].text!r}"") run(""auto"")...",cases/41xxx/41343-bug-kv-cache-dtype-fp8-e5m2-silently-corrupts-output-on-qwen-vl-models.md
41645,[Bug]: gpt-oss MoE moe_forward fake-kernel shape mismatch breaks torch.compile + TP > 1 on Blackwell,https://github.com/vllm-project/vllm/issues/41645,23,kernel_autotune_reduction;quant_dtype_semantics;verification_contract;backend_specific_drift,0,#41646;#41931,ci_build;distributed_parallel;gemm_linear;hardware_porting;moe;quantization,[Bug]: gpt-oss MoE moe_forward fake-kernel shape mismatch breaks torch.compile + TP > 1 on Blackwell ci_build;distributed_parallel;gemm_linear;hardware_porting;moe;quantization [Bug]: gpt-oss MoE moe_forward fake-kernel shape mismatch breaks torch.compile + T...,cases/41xxx/41645-bug-gpt-oss-moe-moe-forward-fake-kernel-shape-mismatch-breaks-torch-co.md
188,CUDA error: out of memory,https://github.com/vllm-project/vllm/issues/188,22,quant_dtype_semantics,54,,ci_build;frontend_api;model_support;sampling_logits,";sampling_logits api;model_support;sampling_logits cuda;kernel;sampling build_error;crash;mismatch;oom dtype;env_dependency I successfully installed vLLM in WSL2, when I was trying to run the sample code, I got error info like this: CUDA error: out of memory...",cases/00xxx/188-cuda-error-out-of-memory.md
12343,[Bug]: Why are the vLLM and Hugging Face Transformers inference results inconsistent?,https://github.com/vllm-project/vllm/issues/12343,22,batch_invariance;quant_dtype_semantics;backend_specific_drift,8,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits,"t;sampling_logits ve also provided the code for reproduction. 1. Model: Phi3-mini-3.8B 2. Precision: BF16 3. Identical versions of PyTorch and FlashAttention2 4. No sampling strategy 5. Single GPU execution, no model parallelism 6. No ba... [Bug]: Why are the...",cases/12xxx/12343-bug-why-are-the-vllm-and-hugging-face-transformers-inference-results-i.md
16107,[Bug]: allow input token logprobs output for multimodal/VLLM,https://github.com/vllm-project/vllm/issues/16107,22,kv_identity_concurrency;quant_dtype_semantics;verification_contract,9,,ci_build;distributed_parallel;frontend_api;model_support;multimodal_vlm;sampling_logits,;sampling_logits odal_vlm;sampling_logits cuda;kernel;operator;sampling build_error;crash;mismatch dtype;env_dependency;memory_layout Your current environment [Bug]: allow input token logprobs output for multimodal/VLLM ### Your current environment It's possi...,cases/16xxx/16107-bug-allow-input-token-logprobs-output-for-multimodal-vllm.md
18528,[Bug][Failing Test]: Multi-Modal Models 3 - models/multimodal/generation/test_common.py,https://github.com/vllm-project/vllm/issues/18528,22,verification_contract,7,#18543,attention_kv_cache;ci_build;frontend_api;model_support;multimodal_vlm;sampling_logits;scheduler_memory,scheduler_memory ;sampling_logits;scheduler_memory cuda;kernel;sampling build_error;crash;mismatch env_dependency #18543 [Bugfix] Use random hidden states in dummy sampler run Your current environment [Bug][Failing Test]: Multi-Modal Models 3 - models/multimo...,cases/18xxx/18528-bug-failing-test-multi-modal-models-3-models-multimodal-generation-tes.md
21177,[Bug]: RuntimeError: query and key must have the same dtype when using Eagle3 speculative decoding with kv-cache-dtype fp8,https://github.com/vllm-project/vllm/issues/21177,22,kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,6,,attention_kv_cache;ci_build;frontend_api;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding coding, inference requests return a 500 error. The logs indicate a dtype mismatch between query and key. - The stack trace references `torch.ops.vllm.unified_attention_with_output` and `flash_attn_varlen_func`. **Expect... [Bug]: RuntimeError...",cases/21xxx/21177-bug-runtimeerror-query-and-key-must-have-the-same-dtype-when-using-eag.md
21756,"[Bug]: tool call parameters doesn't respect schema for parameters when Streaming=True and tool_choice=""auto""",https://github.com/vllm-project/vllm/issues/21756,22,prefix_cache_equivalence;kv_identity_concurrency;quant_dtype_semantics;verification_contract,9,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ns/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 74.7% INFO 07-28 06:13:53 [loggers.py:122] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/... [Bug]: tool call pa...",cases/21xxx/21756-bug-tool-call-parameters-doesn-t-respect-schema-for-parameters-when-st.md
25189,[Bug]: B200 FlashInfer FP8 MoE low-latency - incorrect results,https://github.com/vllm-project/vllm/issues/25189,22,kernel_autotune_reduction;quant_dtype_semantics;verification_contract;backend_specific_drift,1,#25895,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;quantization;sampling_logits;speculative_decoding,ulative_decoding s;speculative_decoding cuda;fp8;moe;operator;sampling;triton build_error;mismatch;nan_inf;slowdown dtype;env_dependency #25895 [Bugfix] Fix accuracy issue of TRTLLM FP8 MOE and improve logging Your current environment [Bug]: B200 FlashInfer F...,cases/25xxx/25189-bug-b200-flashinfer-fp8-moe-low-latency-incorrect-results.md
26213,[Bug]: LLamaFactory-trained GLM-4.1v-9B-Thinking is not compatible with vLLM,https://github.com/vllm-project/vllm/issues/26213,22,kv_identity_concurrency;quant_dtype_semantics;verification_contract,8,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;multimodal_vlm;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding seek help from the vLLM community, as I highly suspect this problem is a mismatch between the saved processor from LLama Factory and processor loading in vLLM. ### Before submitting a new issue... - [x] Make sure you al... [Bug]: LLamaFactory...",cases/26xxx/26213-bug-llamafactory-trained-glm-4-1v-9b-thinking-is-not-compatible-with-v.md
26452,[Bug]: vLLM + LMCache Version Compatibility Issues Across Multiple Releases,https://github.com/vllm-project/vllm/issues/26452,22,quant_dtype_semantics;verification_contract;backend_specific_drift,8,,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ary. The undefined symbol `_ZN3c104cuda9SetDeviceEab` suggests a C++ ABI mismatch, typically occurring when pplx_kernels was compiled against a different PyTorch/CUDA version. --- ## Issue 2: vLLM 0.10.2 + LMCache 0.3.6... [Bug]: vLLM + LMCac...",cases/26xxx/26452-bug-vllm-lmcache-version-compatibility-issues-across-multiple-releases.md
27466,[Bug]: 运行时服务被撑爆导致的oom,https://github.com/vllm-project/vllm/issues/27466,22,prefix_cache_equivalence;batch_invariance;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,5,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory,"scheduler_memory ns/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0% (APIServer pid=8267) INFO: 10.199.238.186:43688 - ""POST /v1/chat/completions HTTP/1.1"" 200 OK (APIServer pid=8267) INFO 10-24... [Bug]: 运行时服务被撑爆导致的o...",cases/27xxx/27466-bug-oom.md
